Active MLB Player,Career fWAR,Overall Draft Pick
Albert Pujols,87.7,402
Mike Trout,73.4,25
Miguel Cabrera,70.6,intl
Robinson Cano,57.3,intl
Joey Votto,56.2,44
Yadier Molina,54,113
Buster Posey,52.7,5
Evan Longoria,51.1,3
Andrew McCutchen,49.9,11
Dustin Pedroia,46.6,65
Ryan Braun,43.7,5
Josh Donaldson,41.4,48
Giancarlo Stanton,39.3,76
Paul Goldschmidt,39.2,246
Ryan Zimmerman,38.2,4
Nelson Cruz,37.5,intl
Mookie Betts,37.2,172
Brett Gardner,37,109
Justin Upton,36.8,1
Shin-Soo Choo,35.4,intl
Bryce Harper,35.1,1
Jose Altuve,35,intl
Freddie Freeman,34.6,78
Edwin Encarnacion,34,274
Christian Yelich,33.6,23
Manny Machado,33.2,3
Anthony Rendon,32.7,6
Yasmani Grandal,32.6,12
Alex Gordon,32.1,2
Hunter Pence,31.7,64
Nolan Arenado,31.3,59
Howie Kendrick,31.3,294
Jason Heyward,31.1,14
Kyle Seager,30.7,82
Matt Carpenter,29.9,399
Nick Markakis,29.2,7
Anthony Rizzo,29.2,204
Lorenzo Cain,28.8,496
Elvis Andrus,28.4,intl
Kris Bryant,27.8,2
Asdrubal Cabrera,27.5,intl
Francisco Lindor,27.2,8
Justin Turner,26,204
Andrelton Simmons,24.9,70
George Springer,24.6,11
Xander Bogaerts,24.6,intl
Jose Ramirez,24.3,intl
Daniel Murphy,24.2,394
Todd Frazier,24.2,34
J.D. Martinez,24.1,611
Starling Marte,24.1,intl
Michael Brantley,23.8,205
Yoenis Cespedes,21.5,intl
Brandon Crawford,21.2,117
Charlie Blackmon,21,72
Dexter Fowler,21,410
Carlos Santana,20.9,intl
Alex Bregman,20.5,2
Jay Bruce,20.3,12
Marcell Ozuna,20.3,intl
Tyler Flowers,20.1,1007
Jed Lowrie,20.1,45
Brandon Belt,20.1,147
Josh Reddick,19.5,523
Adam Eaton,19.3,571
Carlos Correa,18.5,1
Starlin Castro,18.2,intl
Corey Seager,18.2,18
A.J. Pollock,18.1,17
Jose Abreu,17.9,intl
Ian Desmond,17.9,84
Aaron Judge,17.8,32
Jean Segura,17.8,intl
Francisco Cervelli,17.8,intl
Didi Gregorius,17.5,intl
Kevin Kiermaier,17.5,941
Matt Wieters,17.4,5
Marcus Semien,17.4,201
J.T. Realmuto,17.2,104
Matt Joyce,17.1,360
DJ LeMahieu,16.5,79
Mike Moustakas,16.1,2
Kole Calhoun,15.6,264
Tommy Pham,15.5,496
Matt Chapman,15.5,25
Trevor Story,15.4,45
Cody Bellinger,15.4,124
Wilson Ramos,15.4,intl
Eugenio Suarez,15.4,intl
Cameron Maybin,14.9,10
Alex Avila,14.6,163
Jason Castro,14.5,10
Trea Turner,14.3,13
Ender Inciarte,14.3,10
Yan Gomes,14.2,310
Kolten Wong,14,22
Michael Conforto,14,10
Javier Baez,13.9,9
Mike Zunino,13.9,3
Jarrod Dyson,13.9,1475
Jackie Bradley Jr.,13.5,
Eduardo Escobar,13.3,
Joc Pederson,13.1,
David Peralta,12.7,
Chris Davis,12.7,
Dee Gordon,12.6,
Martin Maldonado,12.6,
Whit Merrifield,12.3,
Kevin Pillar,11.8,
Ketel Marte,11.8,
Aaron Hicks,11.8,
Cesar Hernandez,11.6,
Jose Iglesias,11.5,
Corey Dickerson,11.5,
Gary Sanchez,11.4,
Khris Davis,10.7,
Paul DeJong,10.5,
Eddie Rosario,10.5,
Nicholas Castellanos,10.4,
Travis d'Arnaud,10.3,
Ozzie Albies,10.3,
Chris Taylor,10,
Kurt Suzuki,10,
Salvador Perez,10,
Eric Hosmer,9.9,
Max Kepler,9.8,
Wil Myers,9.5,
Randal Grichuk,9.5,
Jonathan Schoop,9.4,
Matt Olson,9.4,
Max Muncy,9.4,
Ronald Acuna Jr.,9.3,
Joe Panik,9.3,
Marwin Gonzalez,9.1,
Travis Shaw,9.1,
Kyle Schwarber,9.1,
Andrew Benintendi,9,
Christian Vazquez,9,
Yoan Moncada,8.9,
Jedd Gyorko,8.7,
Joey Gallo,8.7,
Roberto Perez,8.6,
Freddy Galvis,8.5,
Juan Soto,8.5,
Miguel Sano,8.5,
Jonathan Villar,8.4,
Enrique Hernandez,8.4,
Mitch Haniger,8.4,
